 Catch_2004_1 Catch_2005_1 Catch_2006_1 Catch_2007_1  Catch_2004_2 Catch_2005_2 Catch_2006_2 Catch_2007_2  Catch_2004_3 Catch_2005_3 Catch_2006_3 Catch_2007_3  Catch_2004_4 Catch_2005_4 Catch_2006_4 Catch_2007_4  Catch_2004_5 Catch_2005_5 Catch_2006_5 Catch_2007_5  Catch_2004_6 Catch_2005_6 Catch_2006_6 Catch_2007_6  Catch_2004_7 Catch_2005_7 Catch_2006_7 Catch_2007_7  Catch_2004_8 Catch_2005_8 Catch_2006_8 Catch_2007_8  Catch_2004_9 Catch_2005_9 Catch_2006_9 Catch_2007_9  Catch_2004_10 Catch_2005_10 Catch_2006_10 Catch_2007_10  Catch_2004_11 Catch_2005_11 Catch_2006_11 Catch_2007_11  Catch_2004_12 Catch_2005_12 Catch_2006_12 Catch_2007_12  
 0 0 0 0  31570.4 44108.6 49639.5 0  63140.8 84744.8 91119.5 0  94711.2 121909 124998 0  126282 155600 151834 0  157852 185820 172183 0  189422 212567 186606 0  220993 235841 195659 0  252563 255644 199900 0  284134 271974 199888 0  315704 284832 196181 0  347274 294217 189336 0 
 0 0 0 0  34663.6 49940.9 57373.7 0  69327.3 96115.1 105658 0  103991 138523 145457 0  138655 177163 177374 0  173318 212038 202014 0  207982 243145 219979 0  242646 270486 231874 0  277309 294060 238302 0  311973 313867 239868 0  346636 329908 237175 0  381300 342182 230826 0 
 0 0 0 0  40013.3 55766.1 61383.2 0  80026.5 107212 112546 0  120040 154338 154177 0  160053 197143 186963 0  200066 235628 211593 0  240080 269793 228754 0  280093 299638 239135 0  320106 325162 243423 0  360119 346366 242305 0  400133 363250 236471 0  440146 375814 226608 0 
 0 0 0 0  36972.5 48709.9 54063.5 0  73945 93468.8 99149.9 0  110918 134277 135881 0  147890 171133 164878 0  184863 204039 186763 0  221835 232994 202157 0  258808 257998 211682 0  295780 279051 215959 0  332753 296153 215610 0  369725 309303 211257 0  406698 318503 203521 0 
 0 0 0 0  36218.1 50260 56563.4 0  72436.2 96553.9 103861 0  108654 138881 142527 0  144872 177243 173196 0  181090 211638 196503 0  217309 242067 213082 0  253527 268530 223567 0  289745 291026 228594 0  325963 309556 228797 0  362181 324120 224811 0  398399 334718 217269 0 
 0 0 0 0  34674 47158.9 52781.6 0  69348.1 90547.3 96832.4 0  104022 130165 132754 0  138696 166012 161148 0  173370 198089 182617 0  208044 226395 197761 0  242718 250930 207184 0  277392 271695 211486 0  312066 288689 211270 0  346740 301912 207136 0  381414 311365 199688 0 
 0 0 0 0  45269.8 57779.2 65312.5 0  90539.5 110700 119937 0  135809 158762 164633 0  181079 201966 200162 0  226349 240312 227284 0  271619 273799 246758 0  316888 302427 259346 0  362158 326198 265807 0  407428 345109 266902 0  452698 359163 263391 0  497967 368358 256034 0 
 0 0 0 0  34203.3 44635.2 57932.1 0  68406.5 85543.8 107588 0  102610 122726 149558 0  136813 156181 184432 0  171016 185910 212799 0  205220 211912 235248 0  239423 234187 252371 0  273626 252736 264757 0  307829 267558 272994 0  342033 278653 277674 0  376236 286022 279386 0 
 0 0 0 0  43365.4 53191.8 60195.5 0  86730.8 101711 110397 0  130096 145557 151335 0  173462 184731 183742 0  216827 219232 208349 0  260192 249060 225887 0  303558 274215 237088 0  346923 294698 242682 0  390289 310508 243403 0  433654 321645 239980 0  477019 328109 233145 0 
 0 0 0 0  35552.5 45692.6 53234.4 0  71104.9 87533.1 97918.4 0  106657 125521 134660 0  142210 159658 164068 0  177762 189942 186750 0  213315 216374 203315 0  248867 238953 214370 0  284420 257681 220525 0  319972 272557 222387 0  355525 283580 220565 0  391077 290751 215666 0 
 0 0 0 0  39020.4 50503 54474.5 0  78040.8 96761 99502.6 0  117061 138774 135756 0  156082 176542 163906 0  195102 210065 184624 0  234122 239342 198582 0  273143 264375 206452 0  312163 285163 208905 0  351184 301706 206613 0  390204 314003 200247 0  429224 322056 190478 0 
 0 0 0 0  39851.2 51059.1 57098.9 0  79702.5 97767.4 104589 0  119554 140125 143160 0  159405 178131 173503 0  199256 211787 196309 0  239107 241092 212269 0  278959 266046 222074 0  318810 286650 226414 0  358661 302902 225980 0  398512 314804 221462 0  438364 322355 213552 0 
 0 0 0 0  40470.2 51902.4 59567 0  80940.4 99414.6 109496 0  121411 142537 150477 0  161881 181269 183203 0  202351 215611 208364 0  242821 245563 226651 0  283291 271124 238755 0  323762 292296 245368 0  364232 309078 247181 0  404702 321469 244884 0  445172 329470 239170 0 
 0 0 0 0  36768.9 49614.8 59934.6 0  73537.7 95241.4 110754 0  110307 136880 153092 0  147075 174530 187580 0  183844 208192 214851 0  220613 237865 235538 0  257382 263550 250274 0  294151 285248 259691 0  330920 302956 264423 0  367689 316677 265101 0  404457 326409 262359 0 
 0 0 0 0  32474.7 45941.4 58211.6 0  64949.4 88384.8 108228 0  97424.1 127330 150603 0  129899 162778 185888 0  162373 194727 214638 0  194848 223178 237406 0  227323 248132 254744 0  259798 269587 267206 0  292272 287544 275346 0  324747 302003 279715 0  357222 312965 280868 0 
 0 0 0 0  35097.6 44773 50632.2 0  70195.2 85777.4 92990.1 0  105293 123013 127664 0  140390 156480 155245 0  175488 186179 176323 0  210586 212109 191488 0  245683 234270 201331 0  280781 252663 206442 0  315878 267287 207412 0  350976 278142 204831 0  386074 285229 199289 0 
 0 0 0 0  50384.2 61278.6 68496 0  100768 117127 125470 0  151153 167546 171771 0  201537 212535 208248 0  251921 252094 235751 0  302305 286223 255128 0  352690 314923 267228 0  403074 338192 272900 0  453458 356031 272994 0  503842 368441 268358 0  554226 375421 259842 0 
 0 0 0 0  60137.7 78172.1 95954.9 0  120275 149839 177615 0  180413 215002 246002 0  240551 273659 302138 0  300689 325812 347046 0  360826 371460 381748 0  420964 410603 407266 0  481102 443241 424621 0  541240 469375 434838 0  601377 489004 438936 0  661515 502127 437939 0 
 0 0 0 0  41133.8 53247.2 68587.4 0  82267.6 102097 127423 0  123401 146550 177196 0  164535 186605 218594 0  205669 222263 252305 0  246803 253523 279020 0  287937 280386 299425 0  329071 302852 314209 0  370204 320920 324061 0  411338 334591 329670 0  452472 343865 331724 0 
 0 0 0 0  37138 49503.3 63981.6 0  74276 95040.4 119066 0  111414 136611 165876 0  148552 174216 205034 0  185690 207854 237160 0  222828 237526 262878 0  259966 263232 282809 0  297104 284971 297577 0  334242 302744 307801 0  371380 316551 314106 0  408518 326391 317112 0 
 0 0 0 0  32950 46062.3 57780.4 0  65900.1 88612 107333 0  98850.1 127649 149212 0  131800 163174 183972 0  164750 195186 212168 0  197700 223685 234353 0  230650 248672 251083 0  263600 270146 262911 0  296550 288108 270392 0  329500 302557 274081 0  362451 313493 274531 0 
 0 0 0 0  39750.1 54217.7 67285 0  79500.1 104152 124711 0  119250 149804 172957 0  159000 191172 212700 0  198750 228257 244619 0  238500 261059 269391 0  278251 289577 287695 0  318001 313813 300209 0  357751 333765 307610 0  397501 349435 310578 0  437251 360821 309789 0 
 0 0 0 0  38234.4 51755.8 64871.1 0  76468.8 99369 120338 0  114703 142840 167056 0  152938 182168 205680 0  191172 217354 236863 0  229406 248397 261261 0  267641 275298 279528 0  305875 298057 292318 0  344110 316673 300288 0  382344 331146 304090 0  420578 341477 304380 0 
 0 0 0 0  37955.4 49216.7 56447.9 0  75910.8 94335.3 103779 0  113866 135356 142638 0  151822 172279 173671 0  189777 205103 197524 0  227732 233830 214842 0  265688 258459 226272 0  303643 278989 232459 0  341598 295422 234048 0  379554 307757 231686 0  417509 315994 226017 0 
 0 0 0 0  34946 50340.4 60312.4 0  69891.9 96870.6 111549 0  104838 139590 154319 0  139784 178500 189228 0  174730 213599 216884 0  209676 244888 237895 0  244622 272366 252868 0  279568 296035 262410 0  314514 315893 267130 0  349460 331940 267634 0  384406 344177 264531 0 
 0 0 0 0  34633.2 51488 62375.7 0  69266.4 99210 115580 0  103900 143166 160214 0  138533 183356 196880 0  173166 219780 226179 0  207799 252437 248711 0  242432 281329 265080 0  277065 306455 275886 0  311699 327814 281730 0  346332 345408 283214 0  380965 359236 280940 0 
 0 0 0 0  32514.8 48155.3 58385 0  65029.5 92744.1 108060 0  97544.3 133766 149599 0  130059 171222 183577 0  162574 205111 210568 0  195089 235434 231145 0  227603 262190 245884 0  260118 285379 255358 0  292633 305002 260143 0  325148 321058 260811 0  357663 333548 257938 0 
 0 0 0 0  36139.7 51139.4 65965.7 0  72279.5 98346 122741 0  108419 141620 170951 0  144559 180961 211221 0  180699 216370 244175 0  216838 247846 270438 0  252978 275389 290635 0  289118 299000 305391 0  325258 318677 315330 0  361397 334423 321078 0  397537 346235 323260 0 
 0 0 0 0  45557.3 60943.5 76489.9 0  91114.6 116943 141886 0  136672 167998 196967 0  182229 214109 242513 0  227787 255275 279304 0  273344 291497 308120 0  318901 322775 329740 0  364458 349109 344944 0  410016 370498 354511 0  455573 386943 359221 0  501130 398444 359854 0 
 0 0 0 0  47680.2 67061.2 86551.6 0  95360.4 128933 161095 0  143041 185617 224453 0  190721 237111 277447 0  238401 283416 320899 0  286081 324533 355631 0  333762 360460 382465 0  381442 391199 402223 0  429122 416749 415726 0  476802 437109 423798 0  524482 452281 427260 0 
 0 0 0 0  50818.6 65036.2 82778.3 0  101637 124547 153411 0  152456 178532 212768 0  203275 226992 261722 0  254093 269926 301143 0  304912 307334 331903 0  355731 339218 354874 0  406549 365575 370926 0  457368 386407 380930 0  508186 401714 385759 0  559005 411494 386282 0 
 0 0 0 0  50349.9 63105.9 75696.1 0  100700 120769 139533 0  151050 172988 192367 0  201399 219765 235056 0  251749 261098 268456 0  302099 296988 293426 0  352449 327435 310821 0  402799 352439 321500 0  453149 372000 326319 0  503499 386118 326136 0  553848 394792 321807 0 
 0 0 0 0  48236.6 64288 77905.9 0  96473.2 123388 144028 0  144710 177300 199185 0  192946 226024 244195 0  241183 269561 279878 0  289420 307909 307050 0  337656 341069 326532 0  385893 369041 339141 0  434129 391826 345696 0  482366 409422 347015 0  530603 421831 343918 0 
 0 0 0 0  49527.8 65978.3 86774.2 0  99055.7 126646 161428 0  148584 182002 224800 0  198111 232047 277728 0  247639 276781 321049 0  297167 316204 355601 0  346695 350316 382221 0  396223 379117 401749 0  445751 402607 415021 0  495278 420786 422875 0  544806 433653 426149 0 
 0 0 0 0  39794.5 52902.5 61849.9 0  79589 101576 113981 0  119383 146022 157058 0  159178 186238 191748 0  198972 222226 218714 0  238767 253985 238623 0  278561 281516 252141 0  318356 304817 259931 0  358150 323890 262660 0  397945 338735 260993 0  437739 349351 255596 0 
 0 0 0 0  53396.4 71169.3 78791.4 0  106793 136613 144488 0  160189 196332 197993 0  213586 250326 240208 0  266982 298594 272035 0  320378 341136 294377 0  373775 377954 308136 0  427171 409046 314215 0  480568 434413 313515 0  533964 454054 306939 0  587361 467970 295389 0 
 0 0 0 0  42772.9 57649.6 64691.3 0  85545.9 110718 118742 0  128319 159206 162879 0  171092 203113 197827 0  213865 242439 224314 0  256638 277184 243065 0  299411 307349 254807 0  342184 332932 260265 0  384956 353934 260167 0  427729 370356 255238 0  470502 382196 246204 0 
 0 0 0 0  41751.9 58789.7 69798 0  83503.8 113168 128960 0  125256 163136 178184 0  167008 208692 218168 0  208760 249837 249612 0  250511 286571 273214 0  292263 318894 289673 0  334015 346806 299687 0  375767 370307 303954 0  417519 389396 303174 0  459271 404075 298044 0 
 0 0 0 0  34741.8 47943 55647.5 0  69483.5 92141.9 102522 0  104225 132597 141219 0  138967 169308 172333 0  173709 202275 196457 0  208451 231498 214188 0  243192 256977 226119 0  277934 278712 232846 0  312676 296703 234962 0  347418 310950 233063 0  382159 321453 227743 0 
 0 0 0 0  32734.5 44474.5 49655.7 0  65469 85402.3 91078 0  98203.4 122784 124833 0  130938 156618 151486 0  163672 186906 171604 0  196407 213647 185751 0  229141 236842 194495 0  261876 256490 198401 0  294610 272591 198034 0  327345 285146 193961 0  360079 294154 186748 0 
 0 0 0 0  31156.5 41832.9 47242.6 0  62312.9 80328.7 86763 0  93469.4 115488 119090 0  124626 147310 144751 0  155782 175795 164277 0  186939 200943 178195 0  218095 222754 187035 0  249252 241228 191324 0  280408 256365 191592 0  311565 268165 188367 0  342721 276628 182178 0 
 0 0 0 0  30816.4 41995 47772.2 0  61632.8 80704.6 87850.2 0  92449.2 116129 120754 0  123266 148268 147003 0  154082 177122 167119 0  184898 202690 181620 0  215715 224974 191027 0  246531 243972 195860 0  277348 259684 196640 0  308164 272112 193885 0  338980 281254 188116 0 
 0 0 0 0  26272.1 33826 41682.9 0  52544.3 64838.4 77070.6 0  78816.4 93037 106606 0  105089 118422 130730 0  131361 140993 149887 0  157633 160751 164519 0  183905 177695 175068 0  210177 191825 181978 0  236449 203141 185689 0  262721 211644 186646 0  288994 217333 185290 0 
 0 0 0 0  25075.6 32728.9 37738.1 0  50151.3 62803.1 69478.5 0  75226.9 90222.6 95635.2 0  100303 114987 116622 0  125378 137098 132855 0  150454 156553 144746 0  175529 173354 152710 0  200605 187500 157161 0  225681 198992 158514 0  250756 207829 157183 0  275832 214011 153581 0 
 0 0 0 0  29807 41252.9 48273.2 0  59614 79306.2 89063.8 0  89420.9 114160 122877 0  119228 145814 150219 0  149035 174269 171593 0  178842 199524 187507 0  208649 221580 198464 0  238456 240436 204970 0  268263 256092 207530 0  298070 268549 206649 0  327877 277806 202834 0 
 0 0 0 0  30032.4 40647.7 48344.8 0  60064.8 78104.1 89326.2 0  90097.2 112369 123445 0  120130 143443 151200 0  150162 171325 173094 0  180194 196017 189626 0  210227 217517 201297 0  240259 235825 208607 0  270292 250943 212056 0  300324 262869 212146 0  330356 271604 209377 0 
 0 0 0 0  35045.9 46228.7 54220.2 0  70091.8 88754.9 100070 0  105138 127579 138125 0  140184 162700 168960 0  175229 194118 193152 0  210275 221835 211277 0  245321 245848 223909 0  280367 266160 231626 0  315413 282768 235001 0  350459 295674 234612 0  385505 304878 231034 0 
 0 0 0 0  39333.3 51629.6 60063.9 0  78666.6 99021.1 110612 0  118000 142175 152312 0  157333 181090 185833 0  196666 215767 211844 0  236000 246207 231013 0  275333 272408 244008 0  314666 294371 251498 0  354000 312096 254152 0  393333 325583 252639 0  432666 334832 247625 0 
 0 0 0 0  41891.6 55092.7 63755.1 0  83783.1 105702 117418 0  125675 151827 161692 0  167566 193468 197282 0  209458 230625 224891 0  251349 263298 245223 0  293241 291487 258983 0  335133 315192 266874 0  377024 334414 269600 0  418916 349151 267865 0  460807 359405 262374 0 
 0 0 0 0  33926.6 46546.8 57173.5 0  67853.3 89430.4 105903 0  101780 128651 146768 0  135707 164208 180349 0  169633 196102 207226 0  203560 224333 227979 0  237487 248901 243187 0  271413 269806 253432 0  305340 287048 259293 0  339266 300626 261349 0  373193 310542 260182 0 
 0 0 0 0  32593.2 44604.5 58512.6 0  65186.4 85653.9 108887 0  97779.6 123148 151689 0  130373 157088 187487 0  162966 187472 216849 0  195559 214301 240340 0  228152 237576 258529 0  260746 257295 271982 0  293339 273459 281267 0  325932 286068 286951 0  358525 295123 289601 0 
 0 0 0 0  38973.3 51278.5 61234.6 0  77946.6 98369.6 113113 0  116920 141273 156292 0  155893 179990 191430 0  194867 214519 219184 0  233840 244861 240212 0  272813 271015 255172 0  311787 292982 264721 0  350760 310762 269516 0  389733 324354 270216 0  428706 333760 267477 0 
 0 0 0 0  38326.2 53808.6 68168.5 0  76652.4 103453 126622 0  114979 148933 176025 0  153305 190249 217039 0  191631 227401 250328 0  229957 260389 276555 0  268284 289212 296383 0  306610 313872 310476 0  344936 334367 319497 0  383262 350698 324108 0  421588 362864 324973 0 
 0 0 0 0  29616.4 42798.4 56022.7 0  59232.9 82380.7 104354 0  88849.3 118747 145510 0  118466 151897 180006 0  148082 181831 208360 0  177699 208548 231087 0  207315 232050 248703 0  236931 252335 261725 0  266548 269404 270668 0  296164 283257 276049 0  325781 293894 278384 0 
 0 0 0 0  37195.1 52285.6 62986.2 0  74390.1 100525 116432 0  111585 144717 160985 0  148780 184863 197294 0  185975 220963 226007 0  223170 253016 247771 0  260365 281022 263235 0  297561 304982 273047 0  334756 324895 277856 0  371951 340762 278308 0  409146 352583 275052 0 
 0 0 0 0  35176.7 50171.9 60060.9 0  70353.3 96537.6 110989 0  105530 139097 153396 0  140707 177850 187890 0  175883 212797 215081 0  211060 243937 235580 0  246237 271271 249997 0  281413 294799 258941 0  316590 314520 263023 0  351767 330436 262852 0  386943 342544 259039 0 
 0 0 0 0  40159.1 56965.4 65313.4 0  80318.2 109605 120209 0  120477 157918 165380 0  160636 201904 201518 0  200796 241565 229315 0  240955 276899 249465 0  281114 307907 262660 0  321273 334589 269591 0  361432 356944 270953 0  401591 374973 267437 0  441750 388676 259735 0 
 0 0 0 0  37644 53143 59078.9 0  75288.1 102163 108378 0  112932 147060 148560 0  150576 187835 180286 0  188220 224486 204219 0  225864 257014 221021 0  263508 285420 231354 0  301152 309703 235881 0  338796 329862 235263 0  376440 345899 230162 0  414084 357813 221242 0 
 0 0 0 0  34577.6 48176.8 53579.6 0  69155.2 92549.3 98209.8 0  103733 133117 134504 0  138310 169881 163073 0  172888 202841 184532 0  207466 231996 199493 0  242043 257346 208568 0  276621 278893 212371 0  311198 296635 211513 0  345776 310572 206608 0  380354 320706 198269 0 
 0 0 0 0  34764.7 47532.5 53307.4 0  69529.3 91269.2 97798.9 0  104294 131210 134082 0  139059 167356 162765 0  173823 199705 184455 0  208588 228259 199760 0  243353 253018 209288 0  278117 273980 213646 0  312882 291147 213442 0  347647 304519 209284 0  382411 314094 201780 0 
 0 0 0 0  39765.4 50497.5 53871.3 0  79530.9 96674.6 98190.9 0  119296 138531 133644 0  159062 176068 160917 0  198827 209284 180695 0  238593 238179 193664 0  278358 262755 200510 0  318123 283009 201917 0  357889 298944 198573 0  397654 310558 191162 0  437420 317852 180370 0 
 0 0 0 0  31546.6 41176 47637.5 0  63093.1 78947 87609.4 0  94639.7 113313 120453 0  126186 144274 146708 0  157733 171829 166910 0  189279 195980 181598 0  220826 216725 191309 0  252373 234066 196583 0  283919 248001 197955 0  315466 258531 195966 0  347012 265656 191151 0 
 0 0 0 0  27078.9 41229.1 49996.9 0  54157.8 79562.4 92649.9 0  81236.7 115000 128422 0  108316 147542 157777 0  135395 177188 181177 0  162473 203939 199086 0  189552 227793 211967 0  216631 248752 220283 0  243710 266816 224497 0  270789 281983 225072 0  297868 294255 222472 0 
 0 0 0 0  33148.1 45585.1 55266.8 0  66296.2 87630.2 102199 0  99444.3 126135 141358 0  132592 161101 173303 0  165740 192526 198596 0  198889 220411 217797 0  232037 244757 231466 0  265185 265562 240166 0  298333 282828 244455 0  331481 296553 244895 0  364629 306739 242047 0 
 0 0 0 0  37291.6 51787.4 61051 0  74583.2 99672.7 112783 0  111875 143656 155809 0  149166 183737 190739 0  186458 219916 218186 0  223750 252193 238761 0  261041 280568 253076 0  298333 305041 261743 0  335624 325611 265373 0  372916 342280 264579 0  410208 355046 259971 0 
 0 0 0 0  45942.1 63970 72662.1 0  91884.1 123038 133709 0  137826 177203 183916 0  183768 226466 224054 0  229710 270826 254899 0  275652 310285 277224 0  321594 344841 291803 0  367536 374494 299408 0  413479 399245 300814 0  459421 419094 296795 0  505363 434041 288124 0 
 0 0 0 0  54537.5 70976.5 80078.4 0  109075 136148 147076 0  163613 195513 201901 0  218150 249073 245461 0  272688 296828 278665 0  327225 338778 302419 0  381763 374921 317632 0  436300 405260 325213 0  490838 429793 326068 0  545375 448521 321106 0  599913 461443 311234 0 
 0 0 0 0  48174.8 63598.4 70999.3 0  96349.7 122076 130326 0  144525 175434 178783 0  192699 223671 217172 0  240874 266788 246295 0  289049 304784 266954 0  337224 337660 279952 0  385399 365415 286090 0  433574 388050 286171 0  481748 405565 280997 0  529923 417959 271370 0 
 0 0 0 0  41842.8 54728.3 60123 0  83685.6 105023 110223 0  125528 150885 150991 0  167371 192313 183120 0  209214 229307 207303 0  251057 261868 224232 0  292900 289996 234599 0  334743 313690 239096 0  376585 332951 238415 0  418428 347779 233249 0  460271 358173 224291 0 
 0 0 0 0  40471.3 53194.9 60719.2 0  80942.6 102093 111721 0  121414 146693 153678 0  161885 186996 187261 0  202357 223003 213141 0  242828 254712 231991 0  283299 282123 244482 0  323770 305238 251285 0  364242 324055 253073 0  404713 338575 250516 0  445184 348798 244287 0 
 0 0 0 0  35958.2 48412.1 57350 0  71916.5 92995.2 105909 0  107875 133749 146278 0  143833 170674 179059 0  179791 203771 204851 0  215749 233038 224256 0  251708 258476 237875 0  287666 280086 246309 0  323624 297866 250159 0  359582 311817 250026 0  395541 321940 246510 0 
 0 0 0 0  38947.8 54225.9 62385.7 0  77895.6 104288 114968 0  116843 150185 158404 0  155791 191919 193353 0  194739 229488 220470 0  233687 262893 240416 0  272634 292134 253846 0  311582 317211 261418 0  350530 338124 263791 0  389478 354873 261623 0  428426 367457 255569 0 
 0 0 0 0  33614.4 47331.9 56208.5 0  67228.7 91026.1 103845 0  100843 131082 143489 0  134457 167501 175720 0  168072 200282 201118 0  201686 229425 220260 0  235301 254931 233728 0  268915 276798 242100 0  302529 295028 245955 0  336144 309621 245873 0  369758 320575 242434 0 
 0 0 0 0  33002.6 44417.3 54362.7 0  66005.3 85234.1 100579 0  99007.9 122450 139220 0  132011 156066 170860 0  165013 186081 196071 0  198016 212495 215425 0  231019 235309 229494 0  264021 254522 238852 0  297024 270135 244069 0  330026 282147 245720 0  363029 290559 244376 0 
 0 0 0 0  36041 49351.4 65618 0  72082.1 94771.2 122265 0  108123 136259 170565 0  144164 173816 211145 0  180205 207441 244630 0  216246 237134 271646 0  252287 262896 292817 0  288328 284725 308770 0  324369 302624 320129 0  360410 316590 327521 0  396451 326625 331570 0 
 0 0 0 0  33129 48299.5 65868.9 0  66257.9 92969.2 123204 0  99386.9 134009 172583 0  132516 171419 214586 0  165645 205199 249791 0  198774 235349 278777 0  231903 261869 302123 0  265032 284760 320408 0  298161 304021 334210 0  331290 319651 344108 0  364418 331652 350681 0 
 0 0 0 0  39298.4 53092.9 68348.8 0  78596.8 101911 127093 0  117895 146456 176909 0  157194 186726 218469 0  196492 222721 252450 0  235790 254443 279525 0  275089 281890 300369 0  314387 305062 315657 0  353686 323961 326063 0  392984 338585 332262 0  432282 348935 334929 0 
 0 0 0 0  31291.4 43681.2 56730.7 0  62582.8 83995.3 105639 0  93874.1 120942 147258 0  125166 154522 182117 0  156457 184735 210749 0  187748 211580 233684 0  219040 235059 251455 0  250331 255170 264593 0  281622 271914 273629 0  312914 285292 279095 0  344205 295301 281522 0 
 0 0 0 0  29325.3 43153.9 57206.4 0  58650.5 83109.5 106733 0  87975.8 119867 149092 0  117301 153426 184797 0  146626 183787 214360 0  175952 210950 238292 0  205277 234914 257108 0  234602 255681 271318 0  263927 273249 281437 0  293253 287619 287975 0  322578 298790 291446 0 
 0 0 0 0  39458.7 54903.8 71363.8 0  78917.3 105554 132880 0  118376 151952 185223 0  157835 194096 229066 0  197293 231987 265082 0  236752 265625 293944 0  276211 295010 316327 0  315669 320141 332903 0  355128 341019 344346 0  394587 357644 351329 0  434045 370016 354526 0 
 0 0 0 0  45583.7 64010.2 80357.9 0  91167.3 123116 149305 0  136751 177319 207614 0  182335 226617 256059 0  227918 271012 295415 0  273502 310502 326455 0  319086 345089 349953 0  364669 374772 366682 0  410253 399550 377417 0  455837 419425 382932 0  501420 434396 384000 0 
 0 0 0 0  29901 40774.1 47580.2 0  59801.9 78345.6 87737.6 0  89702.9 112715 120978 0  119604 143881 147807 0  149505 171845 168730 0  179406 196607 184253 0  209307 218166 194882 0  239208 236523 201123 0  269109 251677 203481 0  299010 263629 202463 0  328911 272378 198573 0 
 0 0 0 0  30139.9 41838.1 51582.2 0  60279.8 80405.1 95563.8 0  90419.7 115701 132466 0  120560 147726 162809 0  150700 176479 187116 0  180839 201962 205906 0  210979 224173 219701 0  241119 243113 229022 0  271259 258782 234390 0  301399 271180 236326 0  331539 280307 235352 0 
 0 0 0 0  37472 47577.2 55737.4 0  74944 91130.5 102686 0  112416 130660 141477 0  149888 166165 172742 0  187360 197647 197110 0  224832 225105 215215 0  262304 248539 227686 0  299776 267949 235155 0  337248 283335 238253 0  374720 294697 237610 0  412192 302035 233859 0 
 0 0 0 0  52569.3 66978.8 84824.6 0  105139 128293 157314 0  157708 183942 218356 0  210277 233927 268840 0  262847 278246 309653 0  315416 316901 341684 0  367985 349891 365821 0  420555 377216 382952 0  473124 398877 393965 0  525693 414872 399749 0  578263 425203 401192 0 
 0 0 0 0  48697.9 59889 66075.8 0  97395.9 114526 120883 0  146094 163910 165244 0  194792 208041 199985 0  243490 246920 225928 0  292188 280547 243897 0  340886 308921 254717 0  389584 332042 259211 0  438282 349911 258203 0  486979 362528 252517 0  535677 369892 242976 0 
 0 0 0 0  46922.1 57269.9 66239.4 0  93844.2 109488 121706 0  140766 156654 167192 0  187688 198769 203487 0  234611 235832 231383 0  281533 267842 251670 0  328455 294802 265139 0  375377 316709 272581 0  422299 333565 274787 0  469221 345368 272547 0  516143 352120 266654 0 
 0 0 0 0  38123.7 52281.7 66764.3 0  76247.5 100429 123990 0  114371 144441 172334 0  152495 184319 212453 0  190619 220062 245005 0  228742 251671 270646 0  266866 279145 290034 0  304990 302484 303826 0  343114 321688 312679 0  381237 336758 317249 0  419361 347694 318195 0 
 0 0 0 0  48130.8 60152.9 70158.4 0  96261.7 115117 129065 0  144393 164893 177533 0  192523 209481 216378 0  240654 248879 246413 0  288785 283090 268452 0  336916 312112 283310 0  385047 335945 291800 0  433178 354590 294736 0  481308 368046 292933 0  529439 376314 287204 0 
 0 0 0 0  44779.7 58680.8 68312.4 0  89559.3 112551 125802 0  134339 161612 173226 0  179119 205862 211339 0  223898 245303 240900 0  268678 279933 262664 0  313458 309753 277387 0  358237 334763 285826 0  403017 354963 288738 0  447797 370353 286879 0  492576 380932 281006 0 
 0 0 0 0  43622.6 55083.8 63088.2 0  87245.2 105508 115926 0  130868 151271 159242 0  174490 192375 193768 0  218113 228819 220233 0  261736 260603 239367 0  305358 287727 251901 0  348981 310191 258564 0  392603 327995 260086 0  436226 341139 257197 0  479848 349623 250628 0 
 0 0 0 0  42321.1 54123.8 62232.2 0  84642.2 103720 114465 0  126963 148790 157406 0  169284 189332 191766 0  211606 225347 218253 0  253927 256836 237577 0  296248 283797 250447 0  338569 306230 257571 0  380890 324137 259660 0  423211 337517 257421 0  465532 346369 251565 0 
 0 0 0 0  46126.5 58961.9 68076.3 0  92253.1 112979 125252 0  138380 162052 172304 0  184506 206179 210007 0  230633 245362 239139 0  276759 279600 260475 0  322886 308894 274792 0  369012 333242 282866 0  415139 352646 285474 0  461265 367106 283391 0  507392 376620 277393 0 
 0 0 0 0  37578.5 52584.6 69666.8 0  75157.1 101114 129940 0  112736 145589 181459 0  150314 186008 224866 0  187893 222373 260801 0  225471 254682 289904 0  263050 282936 312817 0  300628 307136 330179 0  338207 327280 342632 0  375785 343369 350816 0  413364 355404 355372 0 
 0 0 0 0  45526.6 63566.8 83231.1 0  91053.3 122191 154997 0  136580 175873 216081 0  182107 224612 267269 0  227633 268408 309346 0  273160 307262 343096 0  318686 341174 369304 0  364213 370143 388754 0  409740 394169 402232 0  455266 413253 410522 0  500793 427394 414408 0 
 0 0 0 0  33946.2 48861.2 66393.7 0  67892.4 94041.8 124074 0  101839 135542 173627 0  135785 173361 215639 0  169731 207500 250695 0  203677 237957 279381 0  237623 264735 302284 0  271570 287831 319989 0  305516 307247 333083 0  339462 322983 342151 0  373408 335037 347779 0 
